Method,method_id,Task,source,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L,Rev,Jump,Smooth,n_test,test_universe,aggregation_level,protocol_id,source_path,status,dataset_id,task_id,uncertainty_type
TCN-GRU,tcn_gru,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.569078947368421,0.5050491050976135,0.6021505376344086,0.0150375939849624,0.8979591836734693,1.0,0.0075757575757575,0.8409090909090846,0.1515151515151503,3,5,0.0049170105940594,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D2,point_estimate
Multi-task TCN-GRU,multitask_tcn_gru,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.7993421052631579,0.811458419130769,0.7499999999999999,0.7136150234741784,0.9707602339181286,0.9382716049382716,0.5757575757575758,0.424242424242421,0.0,0,0,0.0131346423442244,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D2,point_estimate
DC-PSR,dc_psr,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.7960526315789473,0.8083246901320387,0.7466666666666666,0.7075471698113207,0.9707602339181286,0.9375,0.5681818181818182,0.4318181818181785,0.0,0,0,0.0122663891411664,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D2,point_estimate
HTT-Net (adapted),htt_net,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.9276315789473684,0.9270847918460328,0.8874172185430463,0.923076923076923,0.9707602339181286,0.8571428571428571,1.0,0.0,0.0,0,0,0.0141228983061518,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D2,point_estimate
Multi-source Attention,multi_source_attention,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.3223684210526316,0.2314641556992458,0.1894736842105263,0.0425531914893617,0.4623655913978494,0.3333333333333333,0.0227272727272727,0.015151515151515,0.9621212121212048,17,16,0.2838373001981212,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D2,point_estimate
MTF-AViTK,mtf_avitk,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.7861842105263158,0.7977857689874471,0.7699530516431926,0.7234042553191489,0.9,0.8252427184466019,0.6439393939393939,0.3560606060606033,0.0,10,0,0.1382640690792079,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D2,point_estimate
Dynamic GIN + TGP,dynamic_gin_tgp,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.9078947368421052,0.9106684327841298,0.8983957219251336,0.8833333333333332,0.9502762430939228,0.9814814814814816,0.803030303030303,0.1439393939393928,0.0530303030303026,8,0,0.0853186793231023,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D2,point_estimate
DP2Net-adapted,dp2net_adapted,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.868421052631579,0.871580547112462,0.8571428571428571,0.8214285714285715,0.9361702127659576,1.0,0.696969696969697,0.2121212121212105,0.0909090909090902,1,0,0.0433945039182515,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D2,point_estimate
RF,rf,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8914473684210527,0.8962893096971309,0.8484848484848486,0.8571428571428571,0.9832402234636872,0.825,0.8918918918918919,0.0810810810810803,0.0270270270270267,6,0,0.091996699669967,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D3,point_estimate
TCN-GRU,tcn_gru,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.881578947368421,0.8837681108943996,0.90625,0.8378378378378378,0.9072164948453608,0.8378378378378378,0.8378378378378378,0.0,0.1621621621621607,0,0,0.0154958500477029,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D3,point_estimate
Multi-task TCN-GRU,multitask_tcn_gru,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8552631578947368,0.8574805823509947,0.900523560209424,0.7962962962962963,0.8756218905472637,0.819047619047619,0.7747747747747747,0.0,0.2252252252252232,0,0,0.0135470253155115,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D3,point_estimate
DC-PSR,dc_psr,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8618421052631579,0.8640950401011575,0.900523560209424,0.8073394495412843,0.8844221105527639,0.822429906542056,0.7927927927927928,0.0,0.2072072072072053,0,0,0.014321893110665,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D3,point_estimate
HTT-Net (adapted),htt_net,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.9111842105263158,0.914127900904973,0.8829787234042553,0.8870292887029289,0.9723756906077348,0.828125,0.954954954954955,0.0,0.0450450450450446,0,0,0.0144736150884726,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D3,point_estimate
Multi-source Attention,multi_source_attention,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.6578947368421053,0.6610686741742118,0.782122905027933,0.6204379562043796,0.5806451612903226,0.5214723926380368,0.7657657657657657,0.0360360360360357,0.1981981981981964,54,0,0.6586540355678191,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D3,point_estimate
MTF-AViTK,mtf_avitk,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8355263157894737,0.8327336690841747,0.9353233830845772,0.8015873015873017,0.7612903225806451,0.7163120567375887,0.90990990990991,0.0180180180180178,0.0720720720720714,9,0,0.1166117749067326,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D3,point_estimate
Dynamic GIN + TGP,dynamic_gin_tgp,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.9638157894736842,0.9652153993592256,0.95852534562212,0.9483568075117372,0.9887640449438202,0.9901960784313726,0.90990990990991,0.0720720720720714,0.0180180180180178,5,0,0.0866312643810276,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D3,point_estimate
DP2Net-adapted,dp2net_adapted,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8881578947368421,0.8913519553072626,0.8268156424581006,0.8640000000000001,0.9832402234636872,0.7769784172661871,0.972972972972973,0.0,0.0270270270270267,1,0,0.0244491304743311,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED,PHM2010,D3,point_estimate
