dataset,channel_set,group,task,Method,Acc_mean,Acc_std_seed,Acc_n_seeds,Macro_F1_mean,Macro_F1_std_seed,Macro_F1_n_seeds,E_F1_mean,E_F1_std_seed,E_F1_n_seeds,M_F1_mean,M_F1_std_seed,M_F1_n_seeds,L_F1_mean,L_F1_std_seed,L_F1_n_seeds,M_Pre_mean,M_Pre_std_seed,M_Pre_n_seeds,M_Rec_mean,M_Rec_std_seed,M_Rec_n_seeds,M_to_E_mean,M_to_E_std_seed,M_to_E_n_seeds,M_to_L_mean,M_to_L_std_seed,M_to_L_n_seeds,Rev_mean,Rev_std_seed,Rev_n_seeds,Jump_mean,Jump_std_seed,Jump_n_seeds,Smooth_mean,Smooth_std_seed,Smooth_n_seeds,q_MAE_mean,q_MAE_std_seed,q_MAE_n_seeds,q_RMSE_mean,q_RMSE_std_seed,q_RMSE_n_seeds,q_R2_mean,q_R2_std_seed,q_R2_n_seeds,Spearman_mean,Spearman_std_seed,Spearman_n_seeds,Pearson_mean,Pearson_std_seed,Pearson_n_seeds,q_Smooth_mean,q_Smooth_std_seed,q_Smooth_n_seeds,deterministic
mendeley,primary,cross_machine_dual,D2-M,B6,0.6933478735005453,0.10076136551809553,5,0.694707137338983,0.10306679080001181,5,0.7821886384848913,0.02260485431361154,5,0.5945280237119552,0.24130717667828222,5,0.7074047498201026,0.07599186187254128,5,0.6072988219643384,0.14554319618819822,5,0.6212014134275619,0.3234913097780281,5,0.0,0.0,5,0.37879858657243815,0.3234913097780281,5,100.2,35.730938974507794,5,0.2,0.447213595499958,5,0.14059126900978539,0.02624941457106157,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D2-M,B7,0.7238095238095238,0.10900077590959682,5,0.7264174902618525,0.1113941523311368,5,0.8689891676227077,0.12276044001957145,5,0.5765945016497559,0.22843760719415288,5,0.7336688015130937,0.11172797540942965,5,0.8059199431119083,0.08334618560045443,5,0.48356890459363955,0.2702260577072117,5,0.12932862190812722,0.22922504834419366,5,0.38710247349823323,0.333993182402644,5,47.8,23.252956801232827,5,11.6,9.316651759081692,5,0.043290838007224955,0.005838445485483684,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D2-M,B8,0.6356234096692113,0.08682067347269884,5,0.5565959208964738,0.11100901298150011,5,0.6553424658286673,0.3829072374375806,5,0.6051961708601232,0.21674380431791446,5,0.4092491260006309,0.3470362476705922,5,0.6059281094234052,0.13908191317543145,5,0.7971731448763251,0.3717536588643709,5,0.057773851590105986,0.10471011683676099,5,0.1450530035335689,0.26908205512996,5,51.2,26.290682760247975,5,7.2,16.099689437998485,5,0.03506418998829198,0.018905739572326042,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D2-M,B9,0.7057797164667393,0.14870378005569412,5,0.6855841799987499,0.19503095669587125,5,0.8186339299178174,0.17273452252941401,5,0.6707902918166804,0.13682820566088583,5,0.5673283182617518,0.3468360174234136,5,0.7119718264422351,0.2018375059595037,5,0.7010600706713781,0.22906668740489639,5,0.04310954063604236,0.0785682907657462,5,0.25583038869257946,0.18885760573852892,5,46.4,14.467204291085407,5,2.6,3.7148351242013424,5,0.02363790106370612,0.009514321002926141,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D3-M,B1,0.9202413603949534,0.0,5,0.9226058894019914,0.0,5,0.9701395788582582,0.0,5,0.9042479512496033,0.0,5,0.8934301380981126,0.0,5,0.9162601688777702,0.0,5,0.8925877763328998,0.0,5,0.01690507152145636,0.0,5,0.09050715214564364,0.0,5,0.0,0.0,5,0.0,0.0,5,0.006593406593406499,0.0,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,True
mendeley,primary,cross_machine_dual,D3-M,B10,0.5056500274273177,0.06854130022689363,5,0.44308857243506783,0.06708823746437026,5,0.7313480165204173,0.08487444087289212,5,0.12039136574005102,0.25494587211223163,5,0.4775263350447352,0.14894882151702538,5,0.49634724132660857,0.47691416394459507,5,0.11469440832249674,0.2492315634763507,5,0.23355006501950584,0.12981645454415314,5,0.6517555266579974,0.33537890554275906,5,26.6,14.892951352905172,5,32.4,22.277791632026727,5,0.050668019741519264,0.016571211632931942,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D3-M,B11,0.47043335161821176,0.0974442841296177,5,0.3925975078394375,0.11336034829460943,5,0.6986338815046949,0.13352897500657038,5,0.1335153460866274,0.26300496442747634,5,0.3456432959269902,0.2829289647399737,5,0.3522749715204657,0.30966301955275705,5,0.1355006501950585,0.28413806749314585,5,0.3068920676202861,0.2664562496356165,5,0.5576072821846554,0.4077924715506516,5,26.6,6.3482280992415525,5,34.8,29.886451780029024,5,0.06062721799652622,0.010159357583012134,5,0.18949653201005567,0.04083154411721454,5,0.24277667023279972,0.04333924786628431,5,-0.5641073601829465,0.5464498078965635,5,0.5550908129351029,0.08644869039293165,5,0.43706114417713476,0.23277854439890044,5,0.01375601991847318,0.00524424899518277,5,False
mendeley,primary,cross_machine_dual,D3-M,B12,0.46176631925397693,0.08632714995032272,5,0.3890579530017517,0.12004077301131953,5,0.61766683966259,0.23407317111458859,5,0.20330940323086547,0.23314276796106365,5,0.3461976161117998,0.285029002342412,5,0.4371981965060166,0.19719314989030912,5,0.24655396618985695,0.4218845137083789,5,0.19505851755526654,0.2756689031557591,5,0.5583875162548765,0.4043027686348065,5,22.6,14.501724035437993,5,6.6,9.289779329994873,5,0.05143609262984502,0.016543096323176455,5,0.18949653201005567,0.04083154411721454,5,0.24277667023279972,0.04333924786628431,5,-0.5641073601829465,0.5464498078965635,5,0.5550908129351029,0.08644869039293165,5,0.43706114417713476,0.23277854439890044,5,0.01375601991847318,0.00524424899518277,5,False
mendeley,primary,cross_machine_dual,D3-M,B2,0.3961601755348327,0.08754548875459102,5,0.39888276444461235,0.10954761820396991,5,0.5327789651701544,0.10646295554825574,5,0.31842597597073724,0.14760970237463433,5,0.3454433521929453,0.09249208108002692,5,0.42548804921859384,0.08250758810817539,5,0.27282184655396613,0.16946133984740774,5,0.24993498049414825,0.309106587652704,5,0.4772431729518855,0.17989617746957212,5,229.2,19.929877069364974,5,126.6,82.75445607337409,5,0.4916483516483517,0.044675431902494685,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D3-M,B3,0.3518376302797586,0.03568208638857597,5,0.28210198305590883,0.06451970281706097,5,0.5557024195118987,0.07196957092300381,5,0.19439879837148136,0.0738621302997039,5,0.09620473128434645,0.055673772692311795,5,0.3314108052308146,0.042970274849184587,5,0.1448634590377113,0.07581731624056122,5,0.6257477243172952,0.21024819048585033,5,0.22938881664499347,0.14134708203726912,5,135.0,43.433857760967996,5,107.6,42.96277458451677,5,0.13183663003663,0.003200221885798402,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
