dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D1-M,B2,62,baseline,b2,0.3719197707736389,0.3643622937722722,0.3544910179640718,0.463245492371706,0.2753503709810387,0.4254777070063694,0.5083713850837138,"early,middle,late",0.1598173515981735,0.3318112633181126,657,182,54,0.3960964408725603,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B3,62,baseline,b3,0.3931232091690544,0.3233639943711539,0.6028833551769331,0.3246554364471669,0.0425531914893617,0.3266563944530046,0.3226788432267884,"early,middle,late",0.6103500761035008,0.0669710806697108,657,80,20,0.0899196326061997,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B4,62,baseline,b4,0.3409742120343839,0.2748355214307947,0.5790554414784395,0.2422096317280453,0.0032414910858995,0.2264900662251655,0.2602739726027397,"early,middle,late",0.6971080669710806,0.0426179604261796,657,57,8,0.1357721093713232,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B5,62,baseline,b5,0.4544412607449857,0.3770549062998391,0.6651949963208241,0.4535666218034993,0.0124031007751937,0.4065138721351025,0.512937595129376,"early,middle,late",0.410958904109589,0.076103500761035,657,88,11,0.0841044776119402,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B6,62,baseline,b6,0.3644699140401146,0.3436566865138293,0.590990990990991,0.3850340136054421,0.0549450549450549,0.3480934809348093,0.4307458143074581,"early,middle,late",0.3333333333333333,0.2359208523592085,657,79,77,0.1890185234842062,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B11,72,baseline,raw,0.3650429799426934,0.2897306328557693,0.5580357142857143,0.1868787276341948,0.1242774566473988,0.2693409742120344,0.1430745814307458,"early,middle,late",0.7640791476407914,0.0928462709284627,657,26,12,0.0541157225216721,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
mendeley,primary,cross_machine_dual,D1-M,B12,72,proposed,final,0.4263610315186246,0.363720088924709,0.6640159045725647,0.3158705701078582,0.1112737920937042,0.3198127925117004,0.3120243531202435,"early,middle,late",0.5996955859969558,0.0882800608828006,657,16,2,0.0355695501057018,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
mendeley,primary,cross_machine_dual,D1-M,B7,72,baseline,b7,0.4458452722063037,0.3982884799771793,0.6932773109243697,0.3296047725577927,0.1719833564493758,0.3230994152046784,0.3363774733637747,"early,middle,late",0.563165905631659,0.1004566210045662,657,13,17,0.0382319935046264,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B8,72,baseline,b8,0.405730659025788,0.3423162164109802,0.6574440052700923,0.2724458204334365,0.0970588235294117,0.2771653543307086,0.2678843226788432,"early,middle,late",0.6438356164383562,0.0882800608828006,657,18,19,0.0460275313967308,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B9,72,baseline,b9,0.363323782234957,0.3010818088282012,0.6196660482374768,0.1427343078245915,0.1408450704225352,0.1640316205533596,0.1263318112633181,"early,middle,late",0.7625570776255708,0.1111111111111111,657,17,13,0.0435908331423215,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B10,72,baseline,b10,0.4595988538681948,0.442372294722303,0.6579898770788142,0.2457399103139013,0.4233870967741935,0.2991266375545851,0.2085235920852359,"early,middle,late",0.5646879756468798,0.2267884322678843,657,28,19,0.0638751745664943,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B1,72,baseline,b1,0.8808022922636103,0.8826692123665995,0.9041095890410958,0.8367670364500792,0.9071310116086236,0.8727272727272727,0.8036529680365296,"early,middle,late",0.0867579908675799,0.1095890410958904,657,0,0,0.0068886337543053,,,,,,,True
mendeley,primary,cross_machine_dual,D1-M,B2,72,baseline,b2,0.4286532951289398,0.4270839796415269,0.4636591478696741,0.4986559139784946,0.3189368770764119,0.4464500601684717,0.5646879756468798,"early,middle,late",0.121765601217656,0.3135464231354642,657,181,52,0.39150401836969,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B3,72,baseline,b3,0.4137535816618911,0.3614809292444506,0.6459824980111376,0.3787587971849008,0.0597014925373134,0.3267108167770419,0.4505327245053272,"early,middle,late",0.4611872146118721,0.0882800608828006,657,86,7,0.0948717948717948,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B4,72,baseline,b4,0.3272206303724928,0.2361069325691734,0.5640157924421884,0.1128584643848288,0.0314465408805031,0.1438679245283018,0.0928462709284627,"early,middle,late",0.84779299847793,0.0593607305936073,657,38,8,0.1000886090983147,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B5,72,baseline,b5,0.4401146131805157,0.3776946800568848,0.7070866141732284,0.398970398970399,0.027027027027027,0.3455964325529543,0.471841704718417,"early,middle,late",0.4216133942161339,0.106544901065449,657,77,0,0.0867508610792193,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B6,72,baseline,b6,0.3891117478510029,0.3623151352181206,0.55119825708061,0.4726840855106888,0.063063063063063,0.3875365141187926,0.6057838660578386,"early,middle,late",0.2328767123287671,0.1613394216133942,657,73,46,0.1836932748935013,,,,,,,False
