Method,Seed,Acc,Macro-F1,M-F1,M-Rec,Rev,Jump,Smooth,feature_hash,split_hash,gmm_hash,window_hash,training_seconds
Multi-task TCN-GRU,72,0.7796052631578947,0.7771125129623369,0.6492146596858639,0.4806201550387597,5,0,0.041019145399332,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,41.208308696746826
Multi-task TCN-GRU,82,0.986842105263158,0.9871020928241414,0.984375,0.9767441860465116,0,0,0.0214653555303812,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,37.124149560928345
DC-PSR,42,0.986842105263158,0.9871020928241414,0.984375,0.9767441860465116,0,0,0.0189142544935583,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,57.54128575325012
DC-PSR,52,0.6875,0.665944091947633,0.4171779141104294,0.2635658914728682,2,1,0.0397094184651734,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,49.344752073287964
DC-PSR,62,0.8651315789473685,0.8697800754833054,0.8110599078341014,0.6821705426356589,2,0,0.0354206468162875,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,39.94542860984802
DC-PSR,72,0.7960526315789473,0.7955946776616406,0.6836734693877551,0.5193798449612403,2,0,0.030971248824002,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,41.208308696746826
DC-PSR,82,0.9769736842105264,0.9775823518081984,0.9727626459143968,0.9689922480620154,0,0,0.016573908783375,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,37.124149560928345
HTT-Net,42,0.7763157894736842,0.7793803418803419,0.6458333333333334,0.4806201550387597,4,3,0.0649591237306594,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,18.916820287704468
HTT-Net,52,0.8651315789473685,0.8574849327473015,0.862876254180602,1.0,1,0,0.0286648999899625,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,11.966184616088867
HTT-Net,62,0.9177631578947368,0.9208941796475014,0.8962655601659751,0.8372093023255814,1,0,0.0349499024450778,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,15.151608943939209
HTT-Net,72,0.7894736842105263,0.7935505503683538,0.7064220183486238,0.5968992248062015,2,0,0.0431297980248928,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,12.004416942596436
HTT-Net,82,0.8223684210526315,0.8236939521827331,0.7378640776699029,0.5891472868217055,2,0,0.0356647856533527,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,13.691011667251587
