dataset_id,task_id,protocol_id,method_id,method_name,configuration_id,seed,aggregation_level,uncertainty_type,n_test,source_path,source_sha256,status,notes,Acc,Acc_ci_high,Acc_ci_low,Acc_std,Jump,Jump_std,M-F1,M-Rec,M_F1,M_F1_ci_high,M_F1_ci_low,M_F1_std,M_Rec,M_Rec_ci_high,M_Rec_ci_low,M_Rec_std,M_Recall,M_to_E,M_to_L,Macro-F1,MacroF1,MacroF1_ci_high,MacroF1_ci_low,MacroF1_std,M→E,M→L,Rev,Smooth,Smooth_std
PHM2010,D2,PHM_D1_D2_D3_COMMON_304,htt_net,HTT-Net (adapted),,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.9276315789473685,,,,0,,,,0.923076923076923,,,,,,,,1.0,0.0,0.0,,0.9270847918460327,,,,,,0,0.014122898306151814,
PHM2010,D2,PHM_D1_D2_D3_COMMON_304,multi_source_attention,Multi-source Attention,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.3223684210526316,,,,16,,,,0.04255319148936171,,,,,,,,0.022727272727272728,0.015151515151515037,0.9621212121212048,,0.23146415569924583,,,,,,17,0.28383730019812126,
PHM2010,D2,PHM_D1_D2_D3_COMMON_304,mtf_avitk,MTF-AViTK,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.7861842105263158,,,,0,,,,0.7234042553191489,,,,,,,,0.6439393939393939,0.35606060606060336,0.0,,0.7977857689874471,,,,,,10,0.13826406907920794,
PHM2010,D2,PHM_D1_D2_D3_COMMON_304,dynamic_gin_tgp,Dynamic GIN + TGP,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.9078947368421053,,,,0,,,,0.8833333333333332,,,,,,,,0.803030303030303,0.14393939393939287,0.05303030303030263,,0.9106684327841298,,,,,,8,0.08531867932310232,
PHM2010,D2,PHM_D1_D2_D3_COMMON_304,dp2net_adapted,DP2Net-adapted,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.868421052631579,,,,0,,,,0.8214285714285715,,,,,,,,0.696969696969697,0.21212121212121052,0.09090909090909022,,0.871580547112462,,,,,,1,0.043394503918251594,
PHM2010,D3,PHM_D1_D2_D3_COMMON_304,rf,RF,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.8914473684210527,,,,0,,,,0.8571428571428571,,,,,,,,0.8918918918918919,0.08108108108108035,0.027027027027026786,,0.8962893096971309,,,,,,6,0.091996699669967,
PHM2010,D3,PHM_D1_D2_D3_COMMON_304,tcn_gru,TCN-GRU,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.881578947368421,,,,0,,,,0.8378378378378378,,,,,,,,0.8378378378378378,0.0,0.1621621621621607,,0.8837681108943996,,,,,,0,0.015495850047702972,
PHM2010,D3,PHM_D1_D2_D3_COMMON_304,multitask_tcn_gru,Multi-task TCN-GRU,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.8552631578947368,,,,0,,,,0.7962962962962963,,,,,,,,0.7747747747747747,0.0,0.2252252252252232,,0.8574805823509947,,,,,,0,0.01354702531551155,
PHM2010,D3,PHM_D1_D2_D3_COMMON_304,dc_psr,DC-PSR,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.8618421052631579,,,,0,,,,0.8073394495412843,,,,,,,,0.7927927927927928,0.0,0.20720720720720534,,0.8640950401011575,,,,,,0,0.014321893110665071,
PHM2010,D3,PHM_D1_D2_D3_COMMON_304,htt_net,HTT-Net (adapted),,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.9111842105263158,,,,0,,,,0.8870292887029289,,,,,,,,0.954954954954955,0.0,0.04504504504504464,,0.914127900904973,,,,,,0,0.014473615088472606,
