dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D1-M,A3,72,ablation,raw_prior,0.394269340974212,0.3257795805673356,0.6108735491753207,0.2581196581196581,0.1083455344070278,0.2943469785575048,0.2298325722983257,"early,middle,late",0.6818873668188736,0.0882800608828006,657,30,6,0.0409554849772694,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
mendeley,primary,cross_machine_dual,D1-M,A4,72,ablation,mix,0.3925501432664756,0.3241290286385868,0.6108735491753207,0.2536418166238218,0.107871720116618,0.2901960784313726,0.2252663622526636,"early,middle,late",0.6818873668188736,0.0928462709284627,657,27,9,0.0395367459650543,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
mendeley,primary,cross_machine_dual,D1-M,A5,72,ablation,ordered,0.4286532951289398,0.3657069481243354,0.6671105193075899,0.3213465952563121,0.1086637298091042,0.3230769230769231,0.319634703196347,"early,middle,late",0.593607305936073,0.0867579908675799,657,15,1,0.0356493310375304,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
mendeley,primary,cross_machine_dual,D1-M,A6,72,ablation,final,0.4263610315186246,0.363720088924709,0.6640159045725647,0.3158705701078582,0.1112737920937042,0.3198127925117004,0.3120243531202435,"early,middle,late",0.5996955859969558,0.0882800608828006,657,16,2,0.0355695501057018,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
mendeley,primary,cross_machine_dual,D1-M,A1,82,ablation,raw,0.5346704871060172,0.4943289990174526,0.7916331456154465,0.4843646041250831,0.2069892473118279,0.4302600472813239,0.5540334855403348,"early,middle,late",0.3378995433789954,0.1080669710806697,657,22,16,0.0446646793922687,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278,
mendeley,primary,cross_machine_dual,D1-M,A2,82,ablation,raw_fine,0.574785100286533,0.5286217994713577,0.8366124893071001,0.5553470919324578,0.1939058171745152,0.4713375796178344,0.6757990867579908,"early,middle,late",0.2374429223744292,0.0867579908675799,657,20,6,0.0295395814076951,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278,
mendeley,primary,cross_machine_dual,D1-M,A3,82,ablation,raw_prior,0.5581661891117479,0.5148847703833449,0.8209459459459459,0.5291878172588832,0.1945205479452054,0.4537540805223068,0.634703196347032,"early,middle,late",0.2678843226788432,0.0974124809741248,657,24,1,0.0356363259561573,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278,
mendeley,primary,cross_machine_dual,D1-M,A4,82,ablation,mix,0.5621776504297994,0.5181133540588047,0.8258283772302464,0.5359394703656999,0.1925722145804676,0.4574811625403659,0.6468797564687976,"early,middle,late",0.258751902587519,0.0943683409436834,657,21,1,0.0337088672266942,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278,
mendeley,primary,cross_machine_dual,D1-M,A5,82,ablation,ordered,0.5793696275071634,0.5343222936304716,0.8446005267778753,0.5633802816901409,0.1949860724233983,0.4713114754098361,0.700152207001522,"early,middle,late",0.2207001522070015,0.0791476407914764,657,10,0,0.028531240156197,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278,
mendeley,primary,cross_machine_dual,D1-M,A6,82,ablation,final,0.5787965616045845,0.5345960123040171,0.8456140350877193,0.5617701290719115,0.1964038727524204,0.4711340206185567,0.69558599695586,"early,middle,late",0.2207001522070015,0.0837138508371385,657,11,1,0.0298650529860993,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278,
mendeley,primary,cross_machine_dual,D2-M,A1,42,ablation,raw,0.7553616866593966,0.7259039777347094,0.9177718832891246,0.7696532784071404,0.4902867715078631,0.6294216732172937,0.9902826855123676,"early,middle,late",0.0,0.0097173144876325,1132,28,0,0.0178873910856049,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055,
mendeley,primary,cross_machine_dual,D2-M,A2,42,ablation,raw_fine,0.6306797528171574,0.5137792542357321,0.8510938602681722,0.6902439024390243,0.0,0.527001862197393,1.0,"early,middle,late",0.0,0.0,1132,4,0,0.0108634191736536,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055,
mendeley,primary,cross_machine_dual,D2-M,A3,42,ablation,raw_prior,0.648854961832061,0.530393669325083,0.8902522154055896,0.7009287925696595,0.0,0.5395614871306006,1.0,"early,middle,late",0.0,0.0,1132,4,0,0.0154459382699424,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055,
mendeley,primary,cross_machine_dual,D2-M,A4,42,ablation,mix,0.6459469283896765,0.5277880910136836,0.884167237834133,0.6991970352069179,0.0,0.5375118708452041,1.0,"early,middle,late",0.0,0.0,1132,2,0,0.0140268743194292,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055,
mendeley,primary,cross_machine_dual,D2-M,A5,42,ablation,ordered,0.6466739367502726,0.5284413004847642,0.8856947296372347,0.6996291718170581,0.0,0.5380228136882129,1.0,"early,middle,late",0.0,0.0,1132,1,0,0.0052732997789815,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055,
mendeley,primary,cross_machine_dual,D2-M,A6,42,ablation,final,0.6466739367502726,0.5284413004847642,0.8856947296372347,0.6996291718170581,0.0,0.5380228136882129,1.0,"early,middle,late",0.0,0.0,1132,1,0,0.0093839581577366,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055,
mendeley,primary,cross_machine_dual,D2-M,A1,52,ablation,raw,0.6513994910941476,0.6568263357744265,0.6834592779177162,0.4939411425274091,0.7930785868781542,0.7121464226289518,0.3780918727915194,"early,middle,late",0.5936395759717314,0.0282685512367491,1132,50,0,0.0157840281800845,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289,
mendeley,primary,cross_machine_dual,D2-M,A2,52,ablation,raw_fine,0.6426753907669939,0.5234273783429981,0.8775376555337263,0.6927444794952682,0.0,0.5387634936211972,0.969964664310954,"early,middle,late",0.0300353356890459,0.0,1132,11,0,0.0110260295393583,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289,
mendeley,primary,cross_machine_dual,D2-M,A3,52,ablation,raw_prior,0.4114867320974191,0.1943514464760923,0.0,0.5830543394282771,0.0,0.4114867320974191,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0107038475308529,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289,
mendeley,primary,cross_machine_dual,D2-M,A4,52,ablation,mix,0.4638313340603417,0.3020452664396402,0.3006263048016701,0.6055094945172506,0.0,0.4342155734560798,1.0,"early,middle,late",0.0,0.0,1132,5,0,0.0107733495114876,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289,
mendeley,primary,cross_machine_dual,D2-M,A5,52,ablation,ordered,0.4296619411123228,0.2354669327123453,0.1157407407407407,0.5906600573962953,0.0,0.4191040355423917,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0034802313626427,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289,
mendeley,primary,cross_machine_dual,D2-M,A6,52,ablation,final,0.4311159578335151,0.2385670196603734,0.1244239631336405,0.5912770958474798,0.0,0.4197256210604375,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0087213068491847,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289,
mendeley,primary,cross_machine_dual,D2-M,A1,62,ablation,raw,0.821882951653944,0.8121788653168491,0.9111969111969112,0.828996282527881,0.6963434022257552,0.7156611039794608,0.984982332155477,"early,middle,late",0.0017667844522968,0.0132508833922261,1132,29,0,0.0285566593310219,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,
