dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D2-M,B11,42,baseline,raw,0.7553616866593966,0.7259039777347094,0.9177718832891246,0.7696532784071404,0.4902867715078631,0.6294216732172937,0.9902826855123676,"early,middle,late",0.0,0.0097173144876325,1132,28,0,0.0178873910856049,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055,
mendeley,primary,cross_machine_dual,D2-M,B12,42,proposed,final,0.6466739367502726,0.5284413004847642,0.8856947296372347,0.6996291718170581,0.0,0.5380228136882129,1.0,"early,middle,late",0.0,0.0,1132,1,0,0.0093839581577366,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055,
mendeley,primary,cross_machine_dual,D2-M,B9,42,baseline,b9,0.7237368229734642,0.7190031961439818,0.844397238449283,0.5887240356083087,0.7238883143743536,0.8969258589511754,0.4381625441696113,"early,middle,late",0.1828621908127208,0.3789752650176678,1132,52,9,0.0336239788961885,,,,,,,
mendeley,primary,cross_machine_dual,D2-M,B10,42,baseline,b10,0.5779716466739367,0.4606209515300425,0.7950859950859951,0.5867768595041323,0.0,0.5104575163398692,0.6899293286219081,"early,middle,late",0.3100706713780918,0.0,1132,18,0,0.0164448218759057,,,,,,,
mendeley,primary,cross_machine_dual,D2-M,B11,52,baseline,raw,0.6513994910941476,0.6568263357744265,0.6834592779177162,0.4939411425274091,0.7930785868781542,0.7121464226289518,0.3780918727915194,"early,middle,late",0.5936395759717314,0.0282685512367491,1132,50,0,0.0157840281800845,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289,
mendeley,primary,cross_machine_dual,D2-M,B12,52,proposed,final,0.4311159578335151,0.2385670196603734,0.1244239631336405,0.5912770958474798,0.0,0.4197256210604375,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0087213068491847,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289,
mendeley,primary,cross_machine_dual,D2-M,B9,52,baseline,b9,0.8578698655034533,0.8625555613075636,0.928435718809373,0.8285714285714286,0.8306595365418895,0.8375451263537906,0.8197879858657244,"early,middle,late",0.0220848056537102,0.1581272084805653,1132,45,2,0.0204935425070956,,,,,,,
mendeley,primary,cross_machine_dual,D2-M,B10,52,baseline,b10,0.6299527444565612,0.6341813618981487,0.6683087027914614,0.4571092831962397,0.7771260997067448,0.6824561403508772,0.3436395759717314,"early,middle,late",0.6307420494699647,0.0256183745583038,1132,51,0,0.0199900799101487,,,,,,,
mendeley,primary,cross_machine_dual,D2-M,B11,62,baseline,raw,0.821882951653944,0.8121788653168491,0.9111969111969112,0.828996282527881,0.6963434022257552,0.7156611039794608,0.984982332155477,"early,middle,late",0.0017667844522968,0.0132508833922261,1132,29,0,0.0285566593310219,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,
mendeley,primary,cross_machine_dual,D2-M,B12,62,proposed,final,0.6924754634678298,0.6168114773948031,0.9073825503355704,0.7279742765273312,0.2150776053215077,0.5722952477249748,1.0,"early,middle,late",0.0,0.0,1132,8,0,0.0196477017047827,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885,
