Method,method_id,Task,source,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L,Rev,Jump,Smooth,n_test,test_universe,aggregation_level,protocol_id,source_path,status
Dynamic GIN + TGP,dynamic_gin_tgp,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.9078947368421053,0.9106684327841298,0.8983957219251336,0.8833333333333332,0.9502762430939227,0.9814814814814815,0.803030303030303,0.14393939393939287,0.05303030303030263,8,0,0.08531867932310232,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D2/dynamic_gin_tgp/predictions.csv,AUTHORITATIVE
DP2Net-adapted,dp2net_adapted,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.868421052631579,0.871580547112462,0.8571428571428571,0.8214285714285715,0.9361702127659575,1.0,0.696969696969697,0.21212121212121052,0.09090909090909022,1,0,0.043394503918251594,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D2/dp2net_adapted/predictions.csv,AUTHORITATIVE
RF,rf,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8914473684210527,0.8962893096971309,0.8484848484848486,0.8571428571428571,0.9832402234636871,0.825,0.8918918918918919,0.08108108108108035,0.027027027027026786,6,0,0.091996699669967,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D3/rf/predictions.csv,AUTHORITATIVE
TCN-GRU,tcn_gru,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.881578947368421,0.8837681108943996,0.90625,0.8378378378378378,0.9072164948453608,0.8378378378378378,0.8378378378378378,0.0,0.1621621621621607,0,0,0.015495850047702972,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D3/tcn_gru/predictions.csv,AUTHORITATIVE
Multi-task TCN-GRU,multitask_tcn_gru,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8552631578947368,0.8574805823509947,0.900523560209424,0.7962962962962963,0.8756218905472637,0.819047619047619,0.7747747747747747,0.0,0.2252252252252232,0,0,0.01354702531551155,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D3/multitask_tcn_gru/predictions.csv,AUTHORITATIVE
DC-PSR,dc_psr,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8618421052631579,0.8640950401011575,0.900523560209424,0.8073394495412843,0.8844221105527639,0.822429906542056,0.7927927927927928,0.0,0.20720720720720534,0,0,0.014321893110665071,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D3/dc_psr/predictions.csv,AUTHORITATIVE
HTT-Net (adapted),htt_net,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.9111842105263158,0.914127900904973,0.8829787234042553,0.8870292887029289,0.9723756906077349,0.828125,0.954954954954955,0.0,0.04504504504504464,0,0,0.014473615088472606,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D3/htt_net/predictions.csv,AUTHORITATIVE
Multi-source Attention,multi_source_attention,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.6578947368421053,0.6610686741742118,0.782122905027933,0.6204379562043796,0.5806451612903226,0.5214723926380368,0.7657657657657657,0.03603603603603572,0.19819819819819642,54,0,0.6586540355678191,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D3/multi_source_attention/predictions.csv,AUTHORITATIVE
MTF-AViTK,mtf_avitk,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8355263157894737,0.8327336690841747,0.9353233830845771,0.8015873015873017,0.7612903225806451,0.7163120567375887,0.9099099099099099,0.01801801801801786,0.07207207207207143,9,0,0.11661177490673268,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D3/mtf_avitk/predictions.csv,AUTHORITATIVE
Dynamic GIN + TGP,dynamic_gin_tgp,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.9638157894736842,0.9652153993592257,0.9585253456221199,0.9483568075117371,0.9887640449438202,0.9901960784313726,0.9099099099099099,0.07207207207207143,0.01801801801801786,5,0,0.08663126438102761,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D3/dynamic_gin_tgp/predictions.csv,AUTHORITATIVE
DP2Net-adapted,dp2net_adapted,D3,existing seed-42 predictions filtered and recomputed; no retraining,0.8881578947368421,0.8913519553072626,0.8268156424581006,0.8640000000000001,0.9832402234636871,0.7769784172661871,0.972972972972973,0.0,0.027027027027026786,1,0,0.02444913047433117,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D3/dp2net_adapted/predictions.csv,AUTHORITATIVE
