Category,Method,seed,source_file,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2
generic_internal_baseline,Multi-task TCN-GRU,62,final_five_seed_sweep\results\generic_baselines\seed62\1_results\FINAL_comparison_results.csv,0.8059,0.8049,0.8485,0.7035,0.8626,1.0,0.5426,0.2326,0.2248,2,1,0.0388,,,
proposed,DC-PSR,62,final_five_seed_sweep\results\generic_baselines\seed62\1_results\FINAL_comparison_results.csv,0.7993,0.7989,0.8485,0.6965,0.8517,0.9722,0.5426,0.2326,0.2248,2,1,0.0319,,,
generic_internal_baseline,RF,72,final_five_seed_sweep\results\generic_baselines\seed72\1_results\FINAL_comparison_results.csv,0.9803,0.9806,0.9708,0.9766,0.9945,0.9843,0.969,0.031,0.0,5,0,0.1152,,,
generic_internal_baseline,TCN-GRU,72,final_five_seed_sweep\results\generic_baselines\seed72\1_results\FINAL_comparison_results.csv,0.773,0.7683,0.8155,0.6349,0.8545,1.0,0.4651,0.2946,0.2403,2,0,0.0381,,,
generic_internal_baseline,Multi-task TCN-GRU,72,final_five_seed_sweep\results\generic_baselines\seed72\1_results\FINAL_comparison_results.csv,0.8783,0.8865,0.9882,0.8326,0.8387,1.0,0.7132,0.0155,0.2713,1,0,0.0365,,,
proposed,DC-PSR,72,final_five_seed_sweep\results\generic_baselines\seed72\1_results\FINAL_comparison_results.csv,0.8849,0.892,0.9825,0.843,0.8505,1.0,0.7287,0.0233,0.2481,1,0,0.0306,,,
generic_internal_baseline,RF,82,final_five_seed_sweep\results\generic_baselines\seed82\1_results\FINAL_comparison_results.csv,0.977,0.9774,0.9708,0.9723,0.9891,0.9919,0.9535,0.031,0.0155,5,0,0.1099,,,
generic_internal_baseline,TCN-GRU,82,final_five_seed_sweep\results\generic_baselines\seed82\1_results\FINAL_comparison_results.csv,0.8289,0.8378,0.9711,0.7476,0.7948,1.0,0.5969,0.0388,0.3643,4,2,0.0719,,,
generic_internal_baseline,Multi-task TCN-GRU,82,final_five_seed_sweep\results\generic_baselines\seed82\1_results\FINAL_comparison_results.csv,0.9704,0.9712,0.9655,0.9647,0.9832,0.9762,0.9535,0.0465,0.0,0,0,0.0191,,,
proposed,DC-PSR,82,final_five_seed_sweep\results\generic_baselines\seed82\1_results\FINAL_comparison_results.csv,0.9671,0.968,0.9655,0.9609,0.9775,0.9685,0.9535,0.0465,0.0,0,0,0.0149,,,
published_method,HTT-Net (adapted),42,outputs\htt_net\D1_C1C4_to_C6_SOURCE_ONLY_TUNED\metrics.json,0.7763157894736842,0.7793803418803419,0.9230769230769231,0.6458333333333334,0.7692307692307693,0.9841269841269841,0.4806201550387597,0.1085271317829449,0.4108527131782914,4,3,0.06495912373065948,,,
published_method,HTT-Net (adapted),52,outputs\htt_net\D1_C1C4_to_C6_SOURCE_ONLY_TUNED_seed52\metrics.json,0.8651315789473685,0.8574849327473015,0.7555555555555555,0.862876254180602,0.9540229885057471,0.7588235294117647,1.0,0.0,0.0,1,0,0.028664899989962578,,,
published_method,HTT-Net (adapted),62,outputs\htt_net\D1_C1C4_to_C6_SOURCE_ONLY_TUNED_seed62\metrics.json,0.9177631578947368,0.9208941796475014,0.8888888888888888,0.8962655601659751,0.9775280898876404,0.9642857142857143,0.8372093023255814,0.16279069767441734,0.0,1,0,0.034949902445077896,,,
published_method,HTT-Net (adapted),72,outputs\htt_net\D1_C1C4_to_C6_SOURCE_ONLY_TUNED_seed72\metrics.json,0.7894736842105263,0.7935505503683538,0.8155339805825242,0.7064220183486238,0.8586956521739131,0.8651685393258427,0.5968992248062015,0.29457364341085046,0.1085271317829449,2,0,0.04312979802489281,,,
published_method,HTT-Net (adapted),82,outputs\htt_net\D1_C1C4_to_C6_SOURCE_ONLY_TUNED_seed82\metrics.json,0.8223684210526315,0.8236939521827331,0.8195121951219512,0.7378640776699029,0.9137055837563451,0.987012987012987,0.5891472868217055,0.2868217054263544,0.12403100775193703,2,0,0.03566478565335274,,,
published_method,Multi-source Attention,42,outputs\multi_source_attention\unified_protocol\metrics.json,0.819047619047619,0.8236566258413328,0.9052631578947369,0.7543859649122807,0.8113207547169812,0.8686868686868687,0.6666666666666666,0.06201550387596851,0.27131782945736227,22,2,0.31863741707095317,,,
published_method,Multi-source Attention,52,outputs\multi_source_attention\seed_sweep\seed52\unified_protocol\metrics.json,0.7873015873015873,0.7894978859447942,0.8202764976958525,0.7530364372469636,0.7951807228915663,0.788135593220339,0.7209302325581395,0.20930232558139372,0.06976744186046457,40,7,0.4583364071550516,,,
published_method,Multi-source Attention,62,outputs\multi_source_attention\seed_sweep\seed62\unified_protocol\metrics.json,0.7904761904761904,0.7921436949354681,0.848780487804878,0.7510548523206751,0.776595744680851,0.8240740740740741,0.689922480620155,0.12403100775193703,0.18604651162790553,42,5,0.48524782016409,,,
published_method,Multi-source Attention,72,outputs\multi_source_attention\seed_sweep\seed72\unified_protocol\metrics.json,0.8126984126984127,0.8165015469323019,0.8571428571428571,0.7795275590551181,0.8128342245989305,0.792,0.7674418604651163,0.07751937984496064,0.15503875968992128,33,6,0.38841404769325627,,,
published_method,Multi-source Attention,82,outputs\multi_source_attention\seed_sweep\seed82\unified_protocol\metrics.json,0.8222222222222222,0.823844526705447,0.87,0.7950819672131147,0.8064516129032258,0.8434782608695652,0.751937984496124,0.09302325581395277,0.15503875968992128,38,12,0.44030329510368355,,,
published_method,MTF-AViTK,42,outputs\mtf_avitk\seed_sweep\seed42\unified_protocol\metrics.json,0.9682539682539683,0.9688048019461633,0.9842931937172775,0.9621212121212122,0.96,0.9407407407407408,0.9844961240310077,0.015503875968992128,0.0,9,0,0.1909325276028192,,,
published_method,MTF-AViTK,52,outputs\mtf_avitk\seed_sweep\seed52\unified_protocol\metrics.json,0.8793650793650793,0.8780826280826282,0.9444444444444444,0.8716216216216216,0.8181818181818182,0.7724550898203593,1.0,0.0,0.0,13,0,0.21533408202221663,,,
published_method,MTF-AViTK,62,outputs\mtf_avitk\seed_sweep\seed62\unified_protocol\metrics.json,0.9936507936507937,0.9938291993476033,0.9947643979057592,0.9922480620155039,0.994475138121547,0.9922480620155039,0.9922480620155039,0.007751937984496064,0.0,1,0,0.13421946257688774,,,
published_method,MTF-AViTK,72,outputs\mtf_avitk\seed_sweep\seed72\unified_protocol\metrics.json,0.9619047619047619,0.9630010847009998,0.9894736842105263,0.9516129032258065,0.9479166666666666,0.9915966386554622,0.9147286821705426,0.007751937984496064,0.07751937984496064,6,0,0.17624280951212934,,,
published_method,MTF-AViTK,82,outputs\mtf_avitk\seed_sweep\seed82\unified_protocol\metrics.json,0.9746031746031746,0.9753253838360222,0.9787234042553191,0.9692307692307692,0.978021978021978,0.9618320610687023,0.9767441860465116,0.007751937984496064,0.015503875968992128,6,0,0.14117319304447737,,,
published_method,Dynamic GIN + TGP,42,outputs\dynamic_gin_tgp\unified_protocol\seed42\metrics.json,0.8095238095238095,0.8149689304667215,0.8407079646017699,0.7560975609756098,0.8481012658227848,0.7948717948717948,0.7209302325581395,0.2790697674418583,0.0,7,0,0.08677726447772069,,,
published_method,Dynamic GIN + TGP,52,outputs\dynamic_gin_tgp\unified_protocol\seed52\metrics.json,0.9650793650793651,0.965927153899156,0.9444444444444444,0.9588014981273408,0.994535519125683,0.927536231884058,0.9922480620155039,0.0,0.007751937984496064,6,0,0.08889842822934223,,,
published_method,Dynamic GIN + TGP,62,outputs\dynamic_gin_tgp\unified_protocol\seed62\metrics.json,0.8253968253968254,0.8237585118930536,0.8837209302325582,0.729064039408867,0.8584905660377359,1.0,0.5736434108527132,0.1937984496124016,0.23255813953488194,10,0,0.12387148019928888,,,
published_method,Dynamic GIN + TGP,72,outputs\dynamic_gin_tgp\unified_protocol\seed72\metrics.json,0.9396825396825397,0.9411013720418354,0.9547738693467337,0.921161825726141,0.9473684210526315,0.9910714285714286,0.8604651162790697,0.06976744186046457,0.06976744186046457,6,0,0.0990040542409165,,,
published_method,Dynamic GIN + TGP,82,outputs\dynamic_gin_tgp\unified_protocol\seed82\metrics.json,0.8825396825396825,0.8885318235990881,0.852017937219731,0.8355555555555556,0.978021978021978,0.9791666666666666,0.7286821705426356,0.2558139534883701,0.015503875968992128,6,0,0.0999772216113296,,,
published_method,DP2Net-adapted,42,outputs\dp2net\unified_protocol_B-D1\seed42\metrics.json,0.9079365079365079,0.907847623691659,0.8484848484848485,0.896797153024911,0.9782608695652174,0.8289473684210527,0.9767441860465116,0.0,0.02325581395348819,4,0,0.0519286814783029,,,
published_method,DP2Net-adapted,52,outputs\dp2net\unified_protocol_B-D1\seed52\metrics.json,0.8793650793650793,0.8865143583292592,0.8444444444444444,0.831858407079646,0.9832402234636871,0.9690721649484536,0.7286821705426356,0.27131782945736227,0.0,3,0,0.052958608372869795,,,
published_method,DP2Net-adapted,62,outputs\dp2net\unified_protocol_B-D1\seed62\metrics.json,0.9492063492063492,0.9505578631344057,0.9844559585492227,0.9338842975206612,0.9333333333333333,1.0,0.875968992248062,0.02325581395348819,0.10077519379844883,2,0,0.051372014620722065,,,
published_method,DP2Net-adapted,72,outputs\dp2net\unified_protocol_B-D1\seed72\metrics.json,0.8603174603174604,0.8632363322446758,0.892018779342723,0.828125,0.8695652173913043,0.8346456692913385,0.8217054263565892,0.17829457364340948,0.0,3,0,0.061046740329640324,,,
published_method,DP2Net-adapted,82,outputs\dp2net\unified_protocol_B-D1\seed82\metrics.json,0.9396825396825397,0.9408238464499807,0.9595959595959596,0.9272030651340997,0.935672514619883,0.9166666666666666,0.937984496124031,0.06201550387596851,0.0,4,0,0.06115820781209719,,,
