Method,method_id,Task,source,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L,Rev,Jump,Smooth
HTT-Net (adapted),htt_net,D1,reused fixed-model point estimate (results/D1_MAIN_BOOTSTRAP_CI.csv),0.7763157894736842,0.7793803418803419,0.9230769230769232,0.6458333333333334,0.7692307692307693,0.984126984126984,0.4806201550387597,0.1085271317829449,0.4108527131782914,4,3,0.0649591132819632
HTT-Net (adapted),htt_net,D2,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D2/htt_net/metrics.json)",0.9276315789473685,0.9270847918460327,0.8874172185430463,0.9230769230769231,0.9707602339181286,0.8571428571428571,1.0,0.0,0.0,0,0,0.014122898690402508
HTT-Net (adapted),htt_net,D3,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D3/htt_net/metrics.json)",0.9111842105263158,0.914127900904973,0.8829787234042553,0.8870292887029289,0.9723756906077348,0.828125,0.954954954954955,0.0,0.04504504504504464,0,0,0.014473616145551205
Multi-source Attention,multi_source_attention,D1,reused fixed-model point estimate (results/D1_MAIN_BOOTSTRAP_CI.csv),0.8125,0.8195212874954683,0.8928571428571429,0.7543859649122807,0.8113207547169812,0.8686868686868687,0.6666666666666666,0.0620155038759685,0.2713178294573622,22,2,0.32510083353933256
Multi-source Attention,multi_source_attention,D2,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D2/multi_source_attention/metrics.json)",0.326984126984127,0.249943966256023,0.25225225225225223,0.0425531914893617,0.455026455026455,0.3333333333333333,0.022727272727272728,0.015151515151515037,0.9621212121212048,19,21,0.2941045525484364
Multi-source Attention,multi_source_attention,D3,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D3/multi_source_attention/metrics.json)",0.6666666666666666,0.666275659824047,0.8,0.6181818181818182,0.5806451612903226,0.5182926829268293,0.7657657657657657,0.03603603603603572,0.19819819819819642,55,0,0.642417370505455
MTF-AViTK,mtf_avitk,D1,reused fixed-model point estimate (results/D1_MAIN_BOOTSTRAP_CI.csv),0.9703947368421052,0.971338253932752,0.9882352941176472,0.9657794676806084,0.96,0.9477611940298508,0.9844961240310076,0.0155038759689921,0.0,8,0,0.19011765882472606
MTF-AViTK,mtf_avitk,D2,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D2/mtf_avitk/metrics.json)",0.7936507936507936,0.8049645390070922,0.7914893617021277,0.723404255319149,0.9,0.8252427184466019,0.6439393939393939,0.35606060606060336,0.0,10,0,0.13466387018461262
MTF-AViTK,mtf_avitk,D3,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D3/mtf_avitk/metrics.json)",0.8412698412698413,0.834860553347462,0.9417040358744395,0.8015873015873016,0.7612903225806451,0.7163120567375887,0.9099099099099099,0.01801801801801786,0.07207207207207143,9,0,0.11478802999040368
Dynamic GIN + TGP,dynamic_gin_tgp,D1,reused fixed-model point estimate (results/D1_MAIN_BOOTSTRAP_CI.csv),0.8026315789473685,0.8092427461877002,0.8235294117647058,0.7560975609756098,0.8481012658227848,0.7948717948717948,0.7209302325581395,0.2790697674418583,0.0,7,0,0.08542534166666667
Dynamic GIN + TGP,dynamic_gin_tgp,D2,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D2/dynamic_gin_tgp/metrics.json)",0.9111111111111111,0.9142334951727218,0.9090909090909091,0.8833333333333333,0.9502762430939227,0.9814814814814815,0.803030303030303,0.14393939393939287,0.05303030303030263,8,0,0.08580031126268968
Dynamic GIN + TGP,dynamic_gin_tgp,D3,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D3/dynamic_gin_tgp/metrics.json)",0.9650793650793651,0.9664879828966223,0.9623430962343096,0.9483568075117371,0.9887640449438202,0.9901960784313726,0.9099099099099099,0.07207207207207143,0.01801801801801786,5,0,0.08534841072699871
DP2Net-adapted,dp2net_adapted,D1,reused fixed-model point estimate (results/D1_MAIN_BOOTSTRAP_CI.csv),0.9046052631578948,0.9000776159216511,0.8251748251748252,0.896797153024911,0.9782608695652174,0.8289473684210527,0.9767441860465116,0.0,0.0232558139534881,4,0,0.05341049988913365
DP2Net-adapted,dp2net_adapted,D2,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D2/dp2net_adapted/metrics.json)",0.873015873015873,0.8763861390740173,0.8715596330275229,0.8214285714285714,0.9361702127659575,1.0,0.696969696969697,0.21212121212121052,0.09090909090909022,1,0,0.04194849916912694
DP2Net-adapted,dp2net_adapted,D3,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D3/dp2net_adapted/metrics.json)",0.8920634920634921,0.8976704559140981,0.845771144278607,0.864,0.9832402234636871,0.7769784172661871,0.972972972972973,0.0,0.027027027027026786,1,0,0.02359311990262264
